case	distancePaper	distanceNosotros	ceiling
0	3067	867	1671
1	521	161	303
2	7699	2376	4031
3	3477	990	1849
4	3799	884	1762
5	2598	939	1474
6	1470	429	861
7	1958	649	1045
8	3265	1164	1756
9	6498	2259	3777
10	1483	657	892
11	3330	1339	1818
12	9399	3125	4595
13	7399	2065	3807
14	2498	748	1490
15	2563	818	1353
16	5199	1637	2666
17	1053	263	514
18	4801	1696	2420
19	2644	596	1194
20	2499	711	1213
21	7919	2019	3577
22	2498	856	1201
23	2742	761	1410
24	8699	2950	4417
25	3899	1209	1765
26	6199	2219	3248
27	817	293	587
28	6999	2347	3781
29	852	350	562
30	1633	414	729
31	2907	1186	1516
32	7699	2690	4098
33	2155	603	1122
34	0	863	1478
35	6499	1919	3573
36	3999	1281	1910
37	5299	1766	2703
38	4016	1151	2164
39	6299	1733	2908
40	8899	3201	4654
